,iter,method,n,mse_train,mse_val,mse_test,R2_train,R2_val,R2_test,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
62,2,NeuMiss_uniform_,100000,0.3833205285222352,0.40157335752343853,0.40223754735321476,0.6997549266852907,0.6860677598066148,0.6839532951987279,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
63,3,NeuMiss_uniform_,100000,0.3567599692800404,0.3616286908427399,0.3612650904839755,0.7212833065577007,0.7221541736588274,0.7179203215911805,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
64,4,NeuMiss_uniform_,100000,0.38038406071756203,0.3862279327769147,0.3911922402348848,0.7037451390209226,0.7023474746835697,0.6947866917960814,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
65,5,NeuMiss_uniform_,100000,0.3841063650337723,0.3825265070606471,0.38856356769496,0.6984746909936205,0.7007477161242286,0.7019282180574313,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
66,6,NeuMiss_uniform_,100000,0.37314308891591724,0.3669980348376185,0.3877758402728698,0.7097158052708885,0.7006243518646611,0.6982304393335919,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
67,7,NeuMiss_uniform_,100000,0.33592874057984445,0.3482364587196721,0.33222491357797096,0.7376482401184707,0.7237276664047503,0.7425546077953253,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
68,8,NeuMiss_uniform_,100000,0.37798077476123,0.38112912116928394,0.38176414877116194,0.705623257475748,0.7010971671345331,0.6980481832328946,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
69,9,NeuMiss_uniform_,100000,0.34621812797681295,0.37362330235950997,0.3643051633411152,0.7283538730707496,0.7073198364421185,0.7150471444757334,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
70,0,NeuMiss_uniform_,100000,0.5027640438335986,0.5293337431151749,0.5229765063868718,0.6060981699443282,0.5814779002494052,0.5888387603844606,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
71,1,NeuMiss_uniform_,100000,0.5004600104102805,0.5220266360516527,0.5117981819194996,0.6086109039877992,0.6035461282122372,0.6099297683700999,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
